Number;Gender;NameSet;Title;GivenName;MiddleInitial;Surname;StreetAddress;City;State;StateFull;ZipCode;Country;CountryFull;EmailAddress;Username;Password;BrowserUserAgent;TelephoneNumber;TelephoneCountryCode;MothersMaiden;Birthday;Age;TropicalZodiac;CCType;CCNumber;CVV2;CCExpires;NationalID;UPS;WesternUnionMTCN;MoneyGramMTCN;Color;Occupation;Company;Vehicle;Domain;BloodType;Pounds;Kilograms;FeetInches;Centimeters;GUID;Latitude;Longitude
20;female;Polish;Mrs.;Kunegunda;J;Duda;ul. Kokotek 38;Ruda Śląska;;;41-700;PL;Poland;KunegundaDuda@fleckens.hu;Butil1987;fane3Zoh;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;female;Polish;Ms.;Małgorzata;S;Piotrowska;ul. Łasińska 65;Warszawa;;;03-646;PL;Poland;MalgorzataPiotrowska@jourrapide.com;Prahmen;Caisho7ieY;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;female;Polish;Ms.;Beatrycze;M;Walczak;ul. Reymonta 44;Warszawa;;;01-837;PL;Poland;BeatryczeWalczak@dayrep.com;Yeting;aiz2EeQua1r;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36;78 927 93 56;48;Kucharska;5/14/1982;34;Taurus;Visa;4,91655E+15;119;Jun-20;82051443348;1Z 574 330 62 1781 043 8;8940889583;44158837;Red;GED teacher;Grand Union;1996 Fiat Marea;CheerfulGuy.pl;AB+;140.4;63.8;"5' 3""";160;4bba6af8-5027-426a-9983-21b4a0e3aefd;52.321551;21.076741
23;female;Polish;Ms.;Dorota;M;Pawłowska;Pl. Kościeleckich 7;Bydgoszcz;;;85-033;PL;Poland;DorotaPawlowska@teleworm.us;Aborted;Ceelawaeth5;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;male;Polish;Mr.;Juliusz;K;Nowak ;ul. Imielińska 13;Imielin;;;41-407;PL;Poland;JuliuszNowak@armyspy.com;Minne1943;uetah3hu6Aip;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;female;Polish;Ms.;Rościsława;B;Dudek;ul. Niedzielna 49;Warszawa;;;02-966;PL;Poland;RoscislawaDudek@einrot.com;Lefterim77;heeD8Ooshoh;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;female;Polish;Ms.;Zdzisława;B;Zając;ul. Kochłowicka 76;Wrocław;;;52-019;PL;Poland;ZdzislawaZajac@superrito.com;Musur1937;dae4Ahquooc;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;male;Polish;Mr.;Włodzisław;W;Duda;ul. Głuszców 135;Katowice;;;40-668;PL;Poland;WlodzislawDuda@gustr.com;Ardiner94;Yur3yiese;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;female;Polish;Ms.;Rościsława;K;Symanska;ul. 17 Marca 94;Malbork;;;82-200;PL;Poland;RoscislawaSymanska@rhyta.com;Regaserig;pahph3Too;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;male;Polish;Mr.;Krzyś;W;Pawłowski;ul. Kościuszki Tadeusza 116;Racibórz;;;47-400;PL;Poland;KrzysPawlowski@superrito.com;Barten1969;Aesh2eeJ5th;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36;51 870 84 08;48;Zielinska;06/05/1969;47;Gemini;MasterCard;5,19221E+15;51;Oct-18;69060532610;1Z 333 645 64 0957 454 2;1669676490;68311226;Black;Telephone operator;Back To Basics Chiropractic Clinic;1999 McLaren F1;LiquorShow.pl;O+;230.8;104.9;"6' 1""";185;e93b0e35-1572-4572-8461-110566186a12;50.031804;18.265649
30;male;Polish;Mr.;Henio;W;Jaworski;ul. Sportowa 134;Gdynia;;;81-300;PL;Poland;HenioJaworski@teleworm.us;Ments1950;oogieN5Phoo;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;female;Polish;Mrs.;Henryka;L;Maciejewska;ul. Norwida Cypriana Kamila 66;Wrocław;;;50-373;PL;Poland;HenrykaMaciejewska@gustr.com;Glingraps;liece9Eegei;Mozilla/5.0 (Windows NT 6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;male;Polish;Mr.;Dominik;E;Rutkowski;ul. Synów Pułku 141;Białystok;;;15-196;PL;Poland;DominikRutkowski@gustr.com;Hancy1947;Ijis4FuuDoo;Mozilla/5.0 (Windows NT 6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;female;Polish;Ms.;Stefania;G;Olszewska;ul. Kombatantów 54;Bydgoszcz;;;85-829;PL;Poland;StefaniaOlszewska@dayrep.com;Thisheatch;Ahthoh5oo;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;female;Polish;Ms.;Barbara;P;Dąbrowski ;ul. Monterów 94;Bydgoszcz;;;85-800;PL;Poland;BarbaraDabrowski@jourrapide.com;Donted1946;MeveTha7n;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;male;Polish;Mr.;Mieszko;W;Pawlak;ul. Reymonta Władysława 60;Mikołów;;;43-190;PL;Poland;MieszkoPawlak@cuvox.de;Jick1943;Kakae2ai;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36;60 824 21 12;48;Adamczyk;8/25/1943;73;Virgo;Visa;4,539E+15;84;Aug-22;43082501832;1Z 509 W54 59 0683 449 2;5435066707;29148503;Blue;Office administrative assistant;Lionel Kiddie City;2006 GMC Savana;OasisMart.pl;A+;200.2;91.0;"5' 9""";175;85b4016d-0c05-4a7f-ad2a-ca395b6c5b19;50.246274;18.936581
36;female;Polish;Ms.;Jowita;T;Nowicka;ul. Towarowa 47;Siemianowice Śląskie;;;41-103;PL;Poland;JowitaNowicka@armyspy.com;Lairger1974;jai2Pie6x;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;male;Polish;Mr.;Friderich;U;Król;ul. Nad Stawem 51;Gdańsk;;;80-454;PL;Poland;FriderichKrol@fleckens.hu;Ausand;Ua0aeSi1Mu;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;female;Polish;Ms.;Franciszka;R;Czerwinska;ul. Kasztelańska 21;Gdynia;;;81-412;PL;Poland;FranciszkaCzerwinska@gustr.com;Caticuse1979;fie0uiPh;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;female;Polish;Mrs.;Salomea;N;Czarnecka;ul. Powiśle 43;Kraków;;;31-101;PL;Poland;SalomeaCzarnecka@dayrep.com;Grome1937;OoSos2Iech;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;female;Polish;Ms.;Kornelia;M;Majewska;ul. Parowozowa 118;Warszawa;;;03-001;PL;Poland;KorneliaMajewska@armyspy.com;Clacquam;Shai8eeZie;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;female;Polish;Mrs.;Matylda;A;Szczepańska;ul. Spalinowa 71;Warszawa;;;04-058;PL;Poland;MatyldaSzczepanska@teleworm.us;Shostres;Eebie9xaed;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36;79 918 23 12;48;Rutkowska;6/24/1993;23;Cancer;MasterCard;5,55899E+15;154;May-18;93062442800;1Z V50 105 94 7707 538 8;8466292293;85048127;Blue;Training assistant;Golden Joy;1999 Oldsmobile SS;BankingHerald.pl;AB+;219.6;99.8;"5' 9""";175;4bb1bcb5-296d-4a5c-acad-076425cca301;52.157659;20.991987
42;female;Polish;Mrs.;Bronisława;M;Sobczak;ul. Pana Tadeusza 86;Olsztyn;;;10-461;PL;Poland;BronislawaSobczak@dayrep.com;Speas1968;desh9Aeh7een8;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;female;Polish;Dr.;Zofia;M;Nowicka;ul. Obrońców Helu 146;Koszalin;;;75-696;PL;Poland;ZofiaNowicka@superrito.com;Thessis;eng5ahZiez;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;male;Polish;Mr.;Metody;G;Czarnecki;ul. Generała Chłopickiego Józefa 39;Jaworzno;;;43-600;PL;Poland;MetodyCzarnecki@armyspy.com;Fancessid1946;Tee9yei2gi;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;male;Polish;Mr.;Felicjan;H;Pawlak;ul. Przejście Słodowe 34;Wrocław;;;50-159;PL;Poland;FelicjanPawlak@teleworm.us;Whentom;Jieb5che;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;male;Polish;Mr.;Łukasz;A;Wojciechowski;ul. Braci Kiemliczów 114;Kraków;;;30-389;PL;Poland;LukaszWojciechowski@fleckens.hu;Areirlse;anae4Ieseat;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;female;Polish;Ms.;Ludmita;P;Sobczak;ul. Kasprowicza Jana 112;Warszawa;;;01-871;PL;Poland;LudmitaSobczak@rhyta.com;Compond;no8Beujai;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;female;Polish;Mrs.;Julitta;B;Nowicka;Al. Mickiewicza Adama 92;Łódź;;;90-368;PL;Poland;JulittaNowicka@armyspy.com;Namint59;Oun9ohy1gee;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;female;Polish;Ms.;Anastazja;W;Kozłowska;ul. skwer imienia Księdza Infułata Walentego Bala 87;Rzeszów;;;35-323;PL;Poland;AnastazjaKozlowska@fleckens.hu;Lattens;AhduJ4naiqu;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;female;Polish;Mrs.;Bolesława;G;Wysocka;ul. Czwartaków 141;Łódź;;;94-240;PL;Poland;BoleslawaWysocka@dayrep.com;Difew1955;Obio1oociel;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;female;Polish;Mrs.;Jowita;F;Dąbrowski ;ul. Kaszubska 80;Koszalin;;;75-036;PL;Poland;JowitaDabrowski@fleckens.hu;Evicanciat;uesh2iiMi2;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;male;Polish;Mr.;Aron;W;Jasiński;ul. Kruszyńska 83;Warszawa;;;01-365;PL;Poland;AronJasinski@gustr.com;Mitherove63;ieNg1eij5ah;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;female;Polish;Mrs.;Felicyta;K;Grabowska;ul. Pieniężnego Seweryna 69;Olsztyn;;;10-005;PL;Poland;FelicytaGrabowska@einrot.com;Gratting;Miexe4hahW;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;male;Polish;Mr.;Zygmunt;E;Duda;Al. Kraśnicka 9;Lublin;;;20-718;PL;Poland;ZygmuntDuda@cuvox.de;Himposet;ahPie5Ieb;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;female;Polish;Mrs.;Sławomira;F;Grabowska;ul. Jodłowa 42;Tarnowskie Góry;;;42-605;PL;Poland;SlawomiraGrabowska@jourrapide.com;Ause1979;yogh5Gi6too;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;female;Polish;Mrs.;Berta;K;Nowakowska;ul. Dworcowa 121;Gdańsk;;;80-026;PL;Poland;BertaNowakowska@superrito.com;Vage1968;acieXooquae4;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;female;Polish;Mrs.;Hanna;K;Nowak ;ul. Kirasjerów 52;Gdynia;;;81-586;PL;Poland;HannaNowak@teleworm.us;Froper;VaGh9Iu3ee;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;male;Polish;Mr.;Czcibor;F;Tomaszewski;ul. Żwirki i Wigury 111;Gdańsk;;;80-472;PL;Poland;CzciborTomaszewski@einrot.com;Whintral;abiesh4aTeiqu;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;female;Polish;Mrs.;Alicja;A;Walczak;ul. Księżnej Elżbiety 71;Szczecin;;;71-668;PL;Poland;AlicjaWalczak@jourrapide.com;Everat;eichohW1ah;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;female;Polish;Mrs.;Dita;M;Kalinowska;ul. Wojciechowskiego 105;Warszawa;;;02-498;PL;Poland;DitaKalinowska@einrot.com;Theith;yeecef0Oh;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;male;Polish;Mr.;Włodzisław;A;Piotrowski;ul. Gdańska 61;Łódź;;;90-613;PL;Poland;WlodzislawPiotrowski@gustr.com;Yetlenownew;Ja2xieLahhee;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;female;Polish;Mrs.;Julianna;W;Pawlak;Pl. Księdza Szramka Emila 92;Katowice;;;40-014;PL;Poland;JuliannaPawlak@einrot.com;Tunised;Lu5cajeeW2Ah;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;male;Polish;Mr.;Sławomir;W;Dudek;ul. Maryjowiec 130;Jastrzębie-Zdrój;;;44-337;PL;Poland;SlawomirDudek@fleckens.hu;Themannind;iezahKei0;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;male;Polish;Mr.;Krystian;S;Ostrowski;ul. Połczyńska 66;Bydgoszcz;;;85-711;PL;Poland;KrystianOstrowski@superrito.com;Shrome66;Ohph2rieng;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;female;Polish;Mrs.;Julita;K;Czerwinska;ul. Nowa 52;Szczecin;;;70-206;PL;Poland;JulitaCzerwinska@teleworm.us;Yeas1992;su8uchuP;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;female;Polish;Ms.;Julianna;L;Jaworska;Al. Bohaterów Warszawy 3;Szczecin;;;70-342;PL;Poland;JuliannaJaworska@fleckens.hu;Shavoind;aekie2EiT;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;male;Polish;Mr.;Idzi;N;Zając;ul. Norwida Cypriana Kamila 1;Katowice;;;40-140;PL;Poland;IdziZajac@armyspy.com;Cluxis47;Au8Cia8wai;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;male;Polish;Mr.;Władysław;S;Symanski;ul. Warneńska 1;Łódź;;;94-215;PL;Poland;WladyslawSymanski@armyspy.com;Neracked;itai4xiiM;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;female;Polish;Mrs.;Elżbieta;G;Kucharska;ul. Wrocławska 47;Opole;;;45-835;PL;Poland;ElzbietaKucharska@fleckens.hu;Vour1995;ooKe4Aes3c;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;female;Polish;Ms.;Stefcia;A;Piotrowska;ul. Ossowskiego 10;Łódź;;;90-951;PL;Poland;StefciaPiotrowska@fleckens.hu;Upind1980;Gai8ij8Sh;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;female;Polish;Ms.;Stefcia;B;Chmielewska;ul. Czwartaków 109;Płock;;;09-403;PL;Poland;StefciaChmielewska@dayrep.com;Camookeeas;tha6Uicoh;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;female;Polish;Mrs.;Tekla;I;Pawlak;ul. Pucka 86;Szczecin;;;70-851;PL;Poland;TeklaPawlak@einrot.com;Fichim;NoHahsh7;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;female;Polish;Ms.;Bogusława;M;Majewska;ul. Wyspiarska 66;Warszawa;;;03-031;PL;Poland;BoguslawaMajewska@rhyta.com;Sperihat;oofa0Oot5Ai;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;male;Polish;Mr.;Hieronim;S;Czarnecki;ul. Chłopickiego Józefa 95;Bielsko-Biała;;;43-346;PL;Poland;HieronimCzarnecki@fleckens.hu;Ghte1962;zuPaiT9Bem;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;female;Polish;Ms.;Zoja;I;Jasińska;ul. Okrzei Stefana 115;Katowice;;;40-126;PL;Poland;ZojaJasinska@einrot.com;Bahme1956;EiWuphe6cai;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;female;Polish;Mrs.;Jadwiga;K;Król;ul. Mostowa 11;Murowana Goślina;;;62-095;PL;Poland;JadwigaKrol@cuvox.de;Timserly;eeMiel8goo;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;male;Polish;Mr.;Frydryk;A;Piotrowski;ul. Moraczewskiego Macieja 138;Kraków;;;30-376;PL;Poland;FrydrykPiotrowski@superrito.com;Equabill;aefax5Aa0;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;female;Polish;Mrs.;Serafina;R;Pawłowska;ul. Norweska 26;Białystok;;;15-613;PL;Poland;SerafinaPawlowska@einrot.com;Thatel;tha9jiKuR7m;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;male;Polish;Mr.;Radzimierz;M;Kowalski;ul. Juszczaka Franciszka 71;Wrocław;;;54-058;PL;Poland;RadzimierzKowalski@dayrep.com;Hoser1965;xi2ahNgohh;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;male;Polish;Mr.;Szczęsny;G;Pawłowski;ul. Mochnackiego 104;Łódź;;;93-159;PL;Poland;SzczesnyPawlowski@dayrep.com;Justed1962;Ex5ighahn;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;male;Polish;Mr.;Hendrych;J;Maciejewski;ul. Łosiowa 27;Szczecin;;;70-795;PL;Poland;HendrychMaciejewski@teleworm.us;Hols1967;ao5Aeriec4;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;female;Polish;Mrs.;Dominika;M;Sawicka;ul. Słowiańska 128;Wrocław;;;50-235;PL;Poland;DominikaSawicka@cuvox.de;Handond;phie3eeD4;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;male;Polish;Mr.;Sulisław;G;Wysocki;ul. Klimatyczna 66;Warszawa/Wesoła;;;05-077;PL;Poland;SulislawWysocki@superrito.com;Thatithe;oongoo1aiX;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;female;Polish;Ms.;Kunegunda;Z;Tomaszewska;ul. Baonu Zośka 99;Warszawa;;;01-130;PL;Poland;KunegundaTomaszewska@rhyta.com;Trignis;uquu4Hiiv;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;male;Polish;Mr.;Czesław;W;Dudek;ul. Dojazdowa 79;Sosnowiec;;;41-216;PL;Poland;CzeslawDudek@fleckens.hu;Ribut1978;uiWeXe7eiBie;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;male;Polish;Mr.;Franciszek;H;Zielinski;ul. Budy 96;Łódź;;;91-610;PL;Poland;FranciszekZielinski@armyspy.com;Quance1963;aiL4aiShahn;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;female;Polish;Dr.;Waleria;F;Zawadzka;ul. Zgierska 95;Łódź;;;91-478;PL;Poland;WaleriaZawadzka@einrot.com;Whortiven;gohGhaicah4;Mozilla/5.0 (X11;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;female;Polish;Ms.;Henryka;B;Kucharska;ul. Puszczyka 107;Warszawa;;;02-785;PL;Poland;HenrykaKucharska@armyspy.com;Unettle;ue7ogie4Dah;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;female;Polish;Mrs.;Julianna;J;Rutkowska;ul. Zawiszy Czarnego 125;Rzeszów;;;35-082;PL;Poland;JuliannaRutkowska@dayrep.com;Nobece;Rooce6zei3;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;female;Polish;Ms.;Celestyna;D;Kowalska;ul. Kozienicka 119;Kraków;;;30-397;PL;Poland;CelestynaKowalska@teleworm.us;Antou1952;Cae8gohZ;Mozilla/5.0 (Macintosh;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;female;Polish;Mrs.;Wacława;K;Zielinska;ul. Letnia 72;Dąbrowa Górnicza;;;41-300;PL;Poland;WaclawaZielinska@superrito.com;Neear1936;chinoo4yi7V;Mozilla/5.0 (Windows NT 6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
